Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Survived
235,24,10.5,0,0,0,2,0
236,28,7.55,1,0,0,3,0
237,44,26,0,1,0,2,0
238,8,26.25,1,0,2,2,1
239,19,10.5,0,0,0,2,0
240,33,12.275,0,0,0,2,0
241,28,14.4542,1,1,0,3,0
242,28,15.5,1,1,0,3,1
243,29,10.5,0,0,0,2,0
244,22,7.125,0,0,0,3,0
245,30,7.225,0,0,0,3,0
246,44,90,0,2,0,1,0
247,25,7.775,1,0,0,3,0
248,24,14.5,1,0,2,2,1
249,37,52.5542,0,1,1,1,1
250,54,26,0,1,0,2,0
251,28,7.25,0,0,0,3,0
252,29,10.4625,1,1,1,3,0
253,62,26.55,0,0,0,1,0
254,30,16.1,0,1,0,3,0
255,41,20.2125,1,0,2,3,0
256,29,15.2458,1,0,2,3,1
257,28,79.2,1,0,0,1,1
258,30,86.5,1,0,0,1,1
259,35,512.3292,1,0,0,1,1
260,50,26,1,0,1,2,1
261,28,7.75,0,0,0,3,0
262,3,31.3875,0,4,2,3,1
263,52,79.65,0,1,1,1,0
264,40,0,0,0,0,1,0
265,28,7.75,1,0,0,3,0
266,36,10.5,0,0,0,2,0
267,16,39.6875,0,4,1,3,0
268,25,7.775,0,1,0,3,1
269,58,153.4625,1,0,1,1,1
270,35,135.6333,1,0,0,1,1
271,28,31,0,0,0,1,0
272,25,0,0,0,0,3,1
273,41,19.5,1,0,1,2,1
274,37,29.7,0,0,1,1,0
275,28,7.75,1,0,0,3,1
276,63,77.9583,1,1,0,1,1
277,45,7.75,1,0,0,3,0
278,28,0,0,0,0,2,0
279,7,29.125,0,4,1,3,0
280,35,20.25,1,1,1,3,1
281,65,7.75,0,0,0,3,0
282,28,7.8542,0,0,0,3,0
283,16,9.5,0,0,0,3,0
284,19,8.05,0,0,0,3,1
285,28,26,0,0,0,1,0
286,33,8.6625,0,0,0,3,0
287,30,9.5,0,0,0,3,1
288,22,7.8958,0,0,0,3,0
289,42,13,0,0,0,2,1
290,22,7.75,1,0,0,3,1
291,26,78.85,1,0,0,1,1
292,19,91.0792,1,1,0,1,1
293,36,12.875,0,0,0,2,0
294,24,8.85,1,0,0,3,0
295,24,7.8958,0,0,0,3,0
296,28,27.7208,0,0,0,1,0
297,23.5,7.2292,0,0,0,3,0
298,2,151.55,1,1,2,1,0
299,28,30.5,0,0,0,1,1
300,50,247.5208,1,0,1,1,1
301,28,7.75,1,0,0,3,1
302,28,23.25,0,2,0,3,1
303,19,0,0,0,0,3,0
304,28,12.35,1,0,0,2,1
305,28,8.05,0,0,0,3,0
306,0.92,151.55,0,1,2,1,1
307,28,110.8833,1,0,0,1,1
308,17,108.9,1,1,0,1,1
309,30,24,0,1,0,2,0
310,30,56.9292,1,0,0,1,1
311,24,83.1583,1,0,0,1,1
312,18,262.375,1,2,2,1,1
313,26,26,1,1,1,2,0
314,28,7.8958,0,0,0,3,0
315,43,26.25,0,1,1,2,0
316,26,7.8542,1,0,0,3,1
317,24,26,1,1,0,2,1
318,54,14,0,0,0,2,0
319,31,164.8667,1,0,2,1,1
320,40,134.5,1,1,1,1,1
321,22,7.25,0,0,0,3,0
322,27,7.8958,0,0,0,3,0
323,30,12.35,1,0,0,2,1
324,22,29,1,1,1,2,1
325,28,69.55,0,8,2,3,0
326,36,135.6333,1,0,0,1,1
327,61,6.2375,0,0,0,3,0
328,36,13,1,0,0,2,1
329,31,20.525,1,1,1,3,1
330,16,57.9792,1,0,1,1,1
331,28,23.25,1,2,0,3,1
332,45.5,28.5,0,0,0,1,0
333,38,153.4625,0,0,1,1,0
334,16,18,0,2,0,3,0
335,28,133.65,1,1,0,1,1
336,28,7.8958,0,0,0,3,0
337,29,66.6,0,1,0,1,0
338,41,134.5,1,0,0,1,1
339,45,8.05,0,0,0,3,1
340,45,35.5,0,0,0,1,0
341,2,26,0,1,1,2,1
342,24,263,1,3,2,1,1
343,28,13,0,0,0,2,0
344,25,13,0,0,0,2,0
345,36,13,0,0,0,2,0
346,24,13,1,0,0,2,1
347,40,13,1,0,0,2,1
348,28,16.1,1,1,0,3,1
349,3,15.9,0,1,1,3,1
350,42,8.6625,0,0,0,3,0
351,23,9.225,0,0,0,3,0
352,28,35,0,0,0,1,0
353,15,7.2292,0,1,1,3,0
354,25,17.8,0,1,0,3,0
355,28,7.225,0,0,0,3,0
356,28,9.5,0,0,0,3,0
357,22,55,1,0,1,1,1
358,38,13,1,0,0,2,0
359,28,7.8792,1,0,0,3,1
360,28,7.8792,1,0,0,3,1
361,40,27.9,0,1,4,3,0
362,29,27.7208,0,1,0,2,0
363,45,14.4542,1,0,1,3,0
364,35,7.05,0,0,0,3,0
365,28,15.5,0,1,0,3,0
366,30,7.25,0,0,0,3,0
367,60,75.25,1,1,0,1,1
368,28,7.2292,1,0,0,3,1
369,28,7.75,1,0,0,3,1
370,24,69.3,1,0,0,1,1
371,25,55.4417,0,1,0,1,1
372,18,6.4958,0,1,0,3,0
373,19,8.05,0,0,0,3,0
374,22,135.6333,0,0,0,1,0
375,3,21.075,1,3,1,3,0
376,28,82.1708,1,1,0,1,1
377,22,7.25,1,0,0,3,1
378,27,211.5,0,0,2,1,0
379,20,4.0125,0,0,0,3,0
380,19,7.775,0,0,0,3,0
381,42,227.525,1,0,0,1,1
382,1,15.7417,1,0,2,3,1
383,32,7.925,0,0,0,3,0
384,35,52,1,1,0,1,1
385,28,7.8958,0,0,0,3,0
386,18,73.5,0,0,0,2,0
387,1,46.9,0,5,2,3,0
388,36,13,1,0,0,2,1
389,28,7.7292,0,0,0,3,0
390,17,12,1,0,0,2,1
391,36,120,0,1,2,1,1
392,21,7.7958,0,0,0,3,1
393,28,7.925,0,2,0,3,0
394,23,113.275,1,1,0,1,1
395,24,16.7,1,0,2,3,1
396,22,7.7958,0,0,0,3,0
397,31,7.8542,1,0,0,3,0
398,46,26,0,0,0,2,0
399,23,10.5,0,0,0,2,0
400,28,12.65,1,0,0,2,1
401,39,7.925,0,0,0,3,1
402,26,8.05,0,0,0,3,0
403,21,9.825,1,1,0,3,0
404,28,15.85,0,1,0,3,0
405,20,8.6625,1,0,0,3,0
406,34,21,0,1,0,2,0
407,51,7.75,0,0,0,3,0
408,3,18.75,0,1,1,2,1
409,21,7.775,0,0,0,3,0
410,28,25.4667,1,3,1,3,0
411,28,7.8958,0,0,0,3,0
412,28,6.8583,0,0,0,3,0
413,33,90,1,1,0,1,1
414,28,0,0,0,0,2,0
415,44,7.925,0,0,0,3,1
416,28,8.05,1,0,0,3,0
417,34,32.5,1,1,1,2,1
418,18,13,1,0,2,2,1
419,30,13,0,0,0,2,0
420,10,24.15,1,0,2,3,0
421,28,7.8958,0,0,0,3,0
422,21,7.7333,0,0,0,3,0
423,29,7.875,0,0,0,3,0
424,28,14.4,1,1,1,3,0
425,18,20.2125,0,1,1,3,0
426,28,7.25,0,0,0,3,0
427,28,26,1,1,0,2,1
428,19,26,1,0,0,2,1
429,28,7.75,0,0,0,3,0
430,32,8.05,0,0,0,3,1
431,28,26.55,0,0,0,1,1
432,28,16.1,1,1,0,3,1
433,42,26,1,1,0,2,1
434,17,7.125,0,0,0,3,0
435,50,55.9,0,1,0,1,0
436,14,120,1,1,2,1,1
437,21,34.375,1,2,2,3,0
438,24,18.75,1,2,3,2,1
439,64,263,0,1,4,1,0
440,31,10.5,0,0,0,2,0
441,45,26.25,1,1,1,2,1
442,20,9.5,0,0,0,3,0
443,25,7.775,0,1,0,3,0
444,28,13,1,0,0,2,1
445,28,8.1125,0,0,0,3,1
446,4,81.8583,0,0,2,1,1
447,13,19.5,1,0,1,2,1
448,34,26.55,0,0,0,1,1
449,5,19.2583,1,2,1,3,1
450,52,30.5,0,0,0,1,1
451,36,27.75,0,1,2,2,0
452,28,19.9667,0,1,0,3,0
453,30,27.75,0,0,0,1,0
454,49,89.1042,0,1,0,1,1
455,28,8.05,0,0,0,3,0
456,29,7.8958,0,0,0,3,1
457,65,26.55,0,0,0,1,0
458,28,51.8625,1,1,0,1,1
459,50,10.5,1,0,0,2,1
460,28,7.75,0,0,0,3,0
461,48,26.55,0,0,0,1,1
462,34,8.05,0,0,0,3,0
463,47,38.5,0,0,0,1,0
464,48,13,0,0,0,2,0
465,28,8.05,0,0,0,3,0
466,38,7.05,0,0,0,3,0
467,28,0,0,0,0,2,0
468,56,26.55,0,0,0,1,0
469,28,7.725,0,0,0,3,0
470,0.75,19.2583,1,2,1,3,1
771,24,9.5,0,0,0,3,0
772,48,7.8542,0,0,0,3,0
773,57,10.5,1,0,0,2,0
774,28,7.225,0,0,0,3,0
775,54,23,1,1,3,2,1
776,18,7.75,0,0,0,3,0
777,28,7.75,0,0,0,3,0
778,5,12.475,1,0,0,3,1
779,28,7.7375,0,0,0,3,0
780,43,211.3375,1,0,1,1,1
781,13,7.2292,1,0,0,3,1
782,17,57,1,1,0,1,1
783,29,30,0,0,0,1,0
784,28,23.45,0,1,2,3,0
785,25,7.05,0,0,0,3,0
786,25,7.25,0,0,0,3,0
787,18,7.4958,1,0,0,3,1
788,8,29.125,0,4,1,3,0
789,1,20.575,0,1,2,3,1
790,46,79.2,0,0,0,1,0
791,28,7.75,0,0,0,3,0
792,16,26,0,0,0,2,0
793,28,69.55,1,8,2,3,0
794,28,30.6958,0,0,0,1,0
795,25,7.8958,0,0,0,3,0
796,39,13,0,0,0,2,0
797,49,25.9292,1,0,0,1,1
798,31,8.6833,1,0,0,3,1
799,30,7.2292,0,0,0,3,0
800,30,24.15,1,1,1,3,0
801,34,13,0,0,0,2,0
802,31,26.25,1,1,1,2,1
803,11,120,0,1,2,1,1
804,0.42,8.5167,0,0,1,3,1
805,27,6.975,0,0,0,3,1
806,31,7.775,0,0,0,3,0
807,39,0,0,0,0,1,0
808,18,7.775,1,0,0,3,0
809,39,13,0,0,0,2,0
810,33,53.1,1,1,0,1,1
811,26,7.8875,0,0,0,3,0
812,39,24.15,0,0,0,3,0
813,35,10.5,0,0,0,2,0
814,6,31.275,1,4,2,3,0
815,30.5,8.05,0,0,0,3,0
816,28,0,0,0,0,1,0
817,23,7.925,1,0,0,3,0
818,31,37.0042,0,1,1,2,0
819,43,6.45,0,0,0,3,0
820,10,27.9,0,3,2,3,0
821,52,93.5,1,1,1,1,1
822,27,8.6625,0,0,0,3,1
823,38,0,0,0,0,1,0
824,27,12.475,1,0,1,3,1
825,2,39.6875,0,4,1,3,0
826,28,6.95,0,0,0,3,0
827,28,56.4958,0,0,0,3,0
828,1,37.0042,0,0,2,2,1
829,28,7.75,0,0,0,3,1
830,62,80,1,0,0,1,1
831,15,14.4542,1,1,0,3,1
832,0.83,18.75,0,1,1,2,1
833,28,7.2292,0,0,0,3,0
834,23,7.8542,0,0,0,3,0
835,18,8.3,0,0,0,3,0
836,39,83.1583,1,1,1,1,1
837,21,8.6625,0,0,0,3,0
838,28,8.05,0,0,0,3,0
839,32,56.4958,0,0,0,3,1
840,28,29.7,0,0,0,1,1
841,20,7.925,0,0,0,3,0
842,16,10.5,0,0,0,2,0
843,30,31,1,0,0,1,1
844,34.5,6.4375,0,0,0,3,0
845,17,8.6625,0,0,0,3,0
846,42,7.55,0,0,0,3,0
847,28,69.55,0,8,2,3,0
848,35,7.8958,0,0,0,3,0
849,28,33,0,0,1,2,0
850,28,89.1042,1,1,0,1,1
851,4,31.275,0,4,2,3,0
852,74,7.775,0,0,0,3,0
853,9,15.2458,1,1,1,3,0
854,16,39.4,1,0,1,1,1
855,44,26,1,1,0,2,0
856,18,9.35,1,0,1,3,1
857,45,164.8667,1,1,1,1,1
858,51,26.55,0,0,0,1,1
859,24,19.2583,1,0,3,3,1
860,28,7.2292,0,0,0,3,0
861,41,14.1083,0,2,0,3,0
862,21,11.5,0,1,0,2,0
863,48,25.9292,1,0,0,1,1
864,28,69.55,1,8,2,3,0
865,24,13,0,0,0,2,0
866,42,13,1,0,0,2,1
867,27,13.8583,1,1,0,2,1
868,31,50.4958,0,0,0,1,0
869,28,9.5,0,0,0,3,0
870,4,11.1333,0,1,1,3,1
871,26,7.8958,0,0,0,3,0
872,47,52.5542,1,1,1,1,1
873,33,5,0,0,0,1,0
874,47,9,0,0,0,3,0
875,28,24,1,1,0,2,1
876,15,7.225,1,0,0,3,1
877,20,9.8458,0,0,0,3,0
878,19,7.8958,0,0,0,3,0
879,28,7.8958,0,0,0,3,0
880,56,83.1583,1,0,1,1,1
881,25,26,1,0,1,2,1
882,33,7.8958,0,0,0,3,0
883,22,10.5167,1,0,0,3,0
884,28,10.5,0,0,0,2,0
885,25,7.05,0,0,0,3,0
886,39,29.125,1,0,5,3,0
887,27,13,0,0,0,2,0
888,19,30,1,0,0,1,1
889,28,23.45,1,1,2,3,0
890,26,30,0,0,0,1,1
891,32,7.75,0,0,0,3,0
892,34.5,7.8292,0,0,0,3,0
893,47,7,1,1,0,3,0
894,62,9.6875,0,0,0,2,0
895,27,8.6625,0,0,0,3,0
896,22,12.2875,1,1,1,3,0
897,14,9.225,0,0,0,3,0
898,30,7.6292,1,0,0,3,0
899,26,29,0,1,1,2,0
900,18,7.2292,1,0,0,3,0
901,21,24.15,0,2,0,3,0
902,28,7.8958,0,0,0,3,0
903,46,26,0,0,0,1,0
904,23,82.2667,1,1,0,1,0
905,63,26,0,1,0,2,0
906,47,61.175,1,1,0,1,0
907,24,27.7208,1,1,0,2,0
908,35,12.35,0,0,0,2,0
909,21,7.225,0,0,0,3,0
910,27,7.925,1,1,0,3,0
911,45,7.225,1,0,0,3,0
912,55,59.4,0,1,0,1,0
913,9,3.1708,0,0,1,3,0
914,28,31.6833,1,0,0,1,0
915,21,61.3792,0,0,1,1,0
916,48,262.375,1,1,3,1,0
917,50,14.5,0,1,0,3,0
918,22,61.9792,1,0,1,1,0
919,22.5,7.225,0,0,0,3,0
920,41,30.5,0,0,0,1,0
921,28,21.6792,0,2,0,3,0
922,50,26,0,1,0,2,0
923,24,31.5,0,2,0,2,0
924,33,20.575,1,1,2,3,0
925,28,23.45,1,1,2,3,0
926,30,57.75,0,1,0,1,0
927,18.5,7.2292,0,0,0,3,0
928,28,8.05,1,0,0,3,0
929,21,8.6625,1,0,0,3,0
930,25,9.5,0,0,0,3,0
931,28,56.4958,0,0,0,3,0
932,39,13.4167,0,0,1,3,0
933,28,26.55,0,0,0,1,0
934,41,7.85,0,0,0,3,0
935,30,13,1,0,0,2,0
936,45,52.5542,1,1,0,1,0
937,25,7.925,0,0,0,3,0
938,45,29.7,0,0,0,1,0
939,28,7.75,0,0,0,3,0
940,60,76.2917,1,0,0,1,0
941,36,15.9,1,0,2,3,0
942,24,60,0,1,0,1,0
943,27,15.0333,0,0,0,2,0
944,20,23,1,2,1,2,0
945,28,263,1,3,2,1,0
946,28,15.5792,0,0,0,2,0
947,10,29.125,0,4,1,3,0
948,35,7.8958,0,0,0,3,0
949,25,7.65,0,0,0,3,0
950,28,16.1,0,1,0,3,0
951,36,262.375,1,0,0,1,0
952,17,7.8958,0,0,0,3,0
953,32,13.5,0,0,0,2,0
954,18,7.75,0,0,0,3,0
955,22,7.725,1,0,0,3,0
956,13,262.375,0,2,2,1,0
957,28,21,1,0,0,2,0
958,18,7.8792,1,0,0,3,0
959,47,42.4,0,0,0,1,0
960,31,28.5375,0,0,0,1,0
961,60,263,1,1,4,1,0
962,24,7.75,1,0,0,3,0
963,21,7.8958,0,0,0,3,0
964,29,7.925,1,0,0,3,0
965,28.5,27.7208,0,0,0,1,0
966,35,211.5,1,0,0,1,0
967,32.5,211.5,0,0,0,1,0
968,28,8.05,0,0,0,3,0
969,55,25.7,1,2,0,1,0
970,30,13,0,0,0,2,0
971,24,7.75,1,0,0,3,0
972,6,15.2458,0,1,1,3,0
973,67,221.7792,0,1,0,1,0
974,49,26,0,0,0,1,0
975,28,7.8958,0,0,0,3,0
976,28,10.7083,0,0,0,2,0
977,28,14.4542,0,1,0,3,0
978,27,7.8792,1,0,0,3,0
979,18,8.05,1,0,0,3,0
980,28,7.75,1,0,0,3,0
981,2,23,0,1,1,2,0
982,22,13.9,1,1,0,3,0
983,28,7.775,0,0,0,3,0
984,27,52,1,1,2,1,0
985,28,8.05,0,0,0,3,0
986,25,26,0,0,0,1,0
987,25,7.7958,0,0,0,3,0
988,76,78.85,1,1,0,1,0
989,29,7.925,0,0,0,3,0
990,20,7.8542,1,0,0,3,0
991,33,8.05,0,0,0,3,0
992,43,55.4417,1,1,0,1,0
993,27,26,0,1,0,2,0
994,28,7.75,0,0,0,3,0
995,26,7.775,0,0,0,3,0
996,16,8.5167,1,1,1,3,0
997,28,22.525,0,0,0,3,0
998,21,7.8208,0,0,0,3,0
999,28,7.75,0,0,0,3,0
1000,28,8.7125,0,0,0,3,0
1001,18.5,13,0,0,0,2,0
1002,41,15.0458,0,0,0,2,0
1003,28,7.7792,1,0,0,3,0
1004,36,31.6792,1,0,0,1,0
1005,18.5,7.2833,1,0,0,3,0
1006,63,221.7792,1,1,0,1,0
1007,18,14.4542,0,1,0,3,0
1008,28,6.4375,0,0,0,3,0
1009,1,16.7,1,1,1,3,0
1010,36,75.2417,0,0,0,1,0
1011,29,26,1,1,0,2,0
1012,12,15.75,1,0,0,2,0
1013,28,7.75,0,1,0,3,0
1014,35,57.75,1,1,0,1,0
1015,28,7.25,0,0,0,3,0
1016,28,7.75,0,0,0,3,0
1017,17,16.1,1,0,1,3,0
1018,22,7.7958,0,0,0,3,0
1019,28,23.25,1,2,0,3,0
1020,42,13,0,0,0,2,0
1021,24,8.05,0,0,0,3,0
1022,32,8.05,0,0,0,3,0
1023,53,28.5,0,0,0,1,0
1024,28,25.4667,1,0,4,3,0
1025,28,6.4375,0,1,0,3,0
1026,43,7.8958,0,0,0,3,0
1027,24,7.8542,0,0,0,3,0
1028,26.5,7.225,0,0,0,3,0
1029,26,13,0,0,0,2,0
1030,23,8.05,1,0,0,3,0
1031,40,46.9,0,1,6,3,0
1032,10,46.9,1,5,2,3,0
1033,33,151.55,1,0,0,1,0
1034,61,262.375,0,1,3,1,0
1035,28,26,0,0,0,2,0
1036,42,26.55,0,0,0,1,0
1037,31,18,0,3,0,3,0
1038,28,51.8625,0,0,0,1,0
1039,22,8.05,0,0,0,3,0
1040,28,26.55,0,0,0,1,0
1041,30,26,0,1,1,2,0
1042,23,83.1583,1,0,1,1,0
1043,28,7.8958,0,0,0,3,0
1044,60.5,14.4542,0,0,0,3,0
1045,36,12.1833,1,0,2,3,0
1046,13,31.3875,0,4,2,3,0
1047,24,7.55,0,0,0,3,0
1048,29,221.7792,1,0,0,1,0
1049,23,7.8542,1,0,0,3,0
1050,42,26.55,0,0,0,1,0
1051,26,13.775,1,0,2,3,0
1052,28,7.7333,1,0,0,3,0
1053,7,15.2458,0,1,1,3,0
1054,26,13.5,1,0,0,2,0
1055,28,7,0,0,0,3,0
1056,41,13,0,0,0,2,0
1057,26,22.025,1,1,1,3,0
1058,48,50.4958,0,0,0,1,0
1059,18,34.375,0,2,2,3,0
1060,28,27.7208,1,0,0,1,0
1061,22,8.9625,1,0,0,3,0
1062,28,7.55,0,0,0,3,0
1063,27,7.225,0,0,0,3,0
1064,23,13.9,0,1,0,3,0
1065,28,7.2292,0,0,0,3,0
1066,40,31.3875,0,1,5,3,0
1067,15,39,1,0,2,2,0
